No,1234567890,234567,12,124,888652,764384734,463644,645364385
No,1234567890,234567,12,124,888652,764384734,463644,645364385
No,123456789,3456789,2,789,4567890,4567890,3456789,234567890
No,123456789,3456789,2,789,4567890,4567890,3456789,234567890
Yes,4567890-,098765439,12,568,4567890,234567,34567890,123456789852
Yes,4567890,098765439,12,568,4567890,234567,34567890,123456789852
No,45678905485642,56768,1,787,7465765609,56475676996,455758686,8576546574
Yes,5435675467567,7565754,2,789,78552078,87754512,757657676,878784513
Yes,5435675467567,7565754,2,789,78552078,87754512,757657676,878784513
Yes,5435675467567,7565754,2,789,78552078,87754512,34567890,123456789852
Yes,4567890,7565754,2,789,78552078,87754512,34567890,123456789852
No,353465656768,47567465,12,567,75687568576,58765675,5676754,57674676
No,353465656768,47567465,12,567,75687568576,58765675,5676754,57674676
No,72000,2500000,24,679,60000,100000,150000,24000
Yes,5435675467567,7565754,2,789,78552078,87754512,34567890,123456789852
